Index,Name,Emergency,2p0E34+ZeroBias+HLTPhysics,2p0E34+ZeroBias,2p0E34+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34+ZeroBias,1p8E34+ZeroBias+HLTPhysics,1p8E34+HLTPhysics,1p8E34_NoAXO,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoMuShower
106,L1_TripleMu_5_3p5_2p5,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70
107,L1_TripleMu_5_3_3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,L1_TripleMu_5_3_3_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,L1_TripleMu_5_5_3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,L1_TripleMu_3SQ_2p5SQ_0_OS_Mass_Max12,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
111,L1_TripleMu_4SQ_2p5SQ_0_OS_Mass_Max12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
115,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,L1_QuadMu0_OQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,L1_QuadMu0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,L1_QuadMu0_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,L1_SingleMuShower_Nominal,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
120,L1_SingleMuShower_Tight,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
