Index,Name,Emergency,FullZB,MB_UPC_33kHzZB,MB_UPC_22kHzZB,MB_UPC_11kHzZB,MB_UPC_1kHzZB,MB_33kHzZB,MB_22kHzZB,MB_11kHzZB,MB_1kHzZB,Random_10kHzZB,MB_UPC
194,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_OR_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
195,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
196,L1_SingleEG3_NotMinimumBiasHF2_OR_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
202,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
203,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
204,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
208,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
209,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
210,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
211,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
212,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
213,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
214,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
216,L1_SingleMu3_SingleEG12_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
217,L1_SingleMuOpen_SingleEG15_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
218,L1_SingleMu3_SingleEG20_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
219,L1_SingleMu3_SingleEG30_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
220,L1_SingleMu5_SingleEG10_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
221,L1_SingleMu5_SingleEG12_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
222,L1_SingleMu5_SingleEG15_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
223,L1_SingleMu5_SingleEG20_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
224,L1_SingleMu7_SingleEG7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
225,L1_SingleMu7_SingleEG10_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
226,L1_SingleMu7_SingleEG12_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
227,L1_SingleMu7_SingleEG15_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
228,L1_SingleMu12_SingleEG7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
