Index,Name,Emergency,2.2E+34,2E+34,1.7E+34,1.5E+34,1.3E+34,1.1E+34,9E+33,6E+33
190,L1_SingleMu3_Centrality_70_100_BptxAND,0,1,1,1,1,1,1,1,1
191,L1_SingleMuOpen_Centrality_80_100_BptxAND,0,1,1,1,1,1,1,1,1
192,L1_SingleMu3_Centrality_80_100_BptxAND,0,1,1,1,1,1,1,1,1
193,L1_SingleMu3_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
194,L1_SingleMu5_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
195,L1_SingleMu7_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
196,L1_SingleMu12_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
197,L1_SingleMu16_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
199,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND,0,1,1,1,1,1,1,1,1
200,L1_SingleMu0_NotMinimumBiasHF2_OR_BptxAND,0,1,1,1,1,1,1,1,1
201,L1_SingleMu3_NotMinimumBiasHF2_OR_BptxAND,0,1,1,1,1,1,1,1,1
202,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
203,L1_SingleMu0_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
205,L1_SingleMuOpen_Centrality_70_100_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
206,L1_SingleMuOpen_Centrality_80_100_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
208,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
209,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
210,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
211,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
212,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
213,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
214,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
216,L1_SingleMu3_SingleEG12_BptxAND,0,1,1,1,1,1,1,1,1
